file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	Q20(%)	Q30(%)	sample
L2A12F_mrna_fwd.fq.gz	FASTQ	DNA	62143277	8643121623	75	139.1	151	130.0	151.0	151.0	0	151	98.32	95.00	L2-A-1-2-F_mrna_fwd.fq.gz
L2A12F_mrna_rev.fq.gz	FASTQ	DNA	62143277	8644876877	75	139.1	151	130.0	151.0	151.0	0	151	97.91	94.25	L2-A-1-2-F_mrna_rev.fq.gz
L2A12M_mrna_fwd.fq.gz	FASTQ	DNA	66822115	9201185154	75	137.7	151	126.0	151.0	151.0	0	151	98.22	94.76	L2-A-1-2-M_mrna_fwd.fq.gz
L2A12M_mrna_rev.fq.gz	FASTQ	DNA	66822115	9205013654	75	137.8	151	126.0	151.0	151.0	0	151	97.40	93.35	L2-A-1-2-M_mrna_rev.fq.gz
L2A34F_mrna_fwd.fq.gz	FASTQ	DNA	34776892	4937101047	75	142.0	151	141.0	151.0	151.0	0	151	98.30	94.90	L2-A-3-4-F_mrna_fwd.fq.gz
L2A34F_mrna_rev.fq.gz	FASTQ	DNA	34776892	4938702154	75	142.0	151	141.0	151.0	151.0	0	151	96.94	91.92	L2-A-3-4-F_mrna_rev.fq.gz
L2A34M_mrna_fwd.fq.gz	FASTQ	DNA	44430756	6162760915	75	138.7	151	129.0	151.0	151.0	0	151	98.28	94.92	L2-A-3-4-M_mrna_fwd.fq.gz
L2A34M_mrna_rev.fq.gz	FASTQ	DNA	44430756	6166642212	75	138.8	151	129.0	151.0	151.0	0	151	97.49	93.38	L2-A-3-4-M_mrna_rev.fq.gz
L2A56F_mrna_fwd.fq.gz	FASTQ	DNA	29374783	4082626352	75	139.0	151	130.0	151.0	151.0	0	151	98.30	94.97	L2-A-5-6-F_mrna_fwd.fq.gz
L2A56F_mrna_rev.fq.gz	FASTQ	DNA	29374783	4083921487	75	139.0	151	130.0	151.0	151.0	0	151	97.74	94.02	L2-A-5-6-F_mrna_rev.fq.gz
L2A56M_mrna_fwd.fq.gz	FASTQ	DNA	18486875	2555260239	75	138.2	151	128.0	151.0	151.0	0	151	98.24	94.68	L2-A-5-6-M_mrna_fwd.fq.gz
L2A56M_mrna_rev.fq.gz	FASTQ	DNA	18486875	2557109197	75	138.3	151	128.0	151.0	151.0	0	151	97.05	92.68	L2-A-5-6-M_mrna_rev.fq.gz
L2B109F_mrna_fwd.fq.gz	FASTQ	DNA	74312558	10456980114	75	140.7	151	135.0	151.0	151.0	0	151	98.25	94.81	L2-B-10-9-F_mrna_fwd.fq.gz
L2B109F_mrna_rev.fq.gz	FASTQ	DNA	74312558	10459816906	75	140.8	151	135.0	151.0	151.0	0	151	97.42	93.22	L2-B-10-9-F_mrna_rev.fq.gz
L2B109M_mrna_fwd.fq.gz	FASTQ	DNA	70882110	10024619399	75	141.4	151	138.0	151.0	151.0	0	151	98.35	95.02	L2-B-10-9-M_mrna_fwd.fq.gz
